30,21,1,2,0,0,0,0,0,1,0,1,1
16,9,0,1,0,0,0,0,0,0,0,0,0
17,10,0,1,0,0,0,0,0,0,0,0,0
40,16,16,2,0,0,0,0,0,1,0,0,1
75,43,24,3,1,0,0,0,21,1,0,0,1
38,29,1,2,1,0,0,0,2,1,0,0,1
21,6,7,1,1,0,0,0,0,1,0,0,1
19,12,0,1,0,0,0,0,0,0,0,0,0
18,11,0,1,0,0,0,0,2,0,0,0,0
22,15,0,1,0,0,0,0,0,0,0,0,0
20,13,0,1,1,0,0,0,0,0,0,0,0
24,12,4,2,0,0,0,0,0,1,0,0,1
184,15,108,3,7,0,1,5,21,1,0,0,1
21,14,0,1,0,0,0,0,0,0,0,0,0
83,74,1,3,0,0,0,0,10,1,0,0,1
37,10,19,2,0,0,0,0,1,1,0,0,1
62,43,11,3,1,0,0,0,20,1,0,0,1
21,6,7,1,1,0,0,0,0,1,0,0,1
39,30,1,2,0,0,0,0,0,1,0,0,1
22,15,0,1,0,0,0,0,0,0,0,1,0
39,30,1,2,2,0,0,0,6,1,0,0,1
26,19,0,1,1,0,0,0,0,0,0,0,0
22,6,8,1,0,0,0,0,2,1,0,1,1
175,15,108,2,2,0,1,3,16,1,0,0,1
21,14,0,1,1,0,0,0,0,0,0,0,0
16,9,0,1,0,0,0,0,0,0,0,0,0
27,20,0,1,0,0,0,0,0,0,0,0,0
175,15,108,2,2,0,1,3,17,1,0,0,1
15,8,0,1,0,0,0,0,0,0,0,0,0
20,13,0,1,0,0,0,0,0,0,0,0,0
25,18,0,1,1,0,0,0,0,0,0,0,0
64,49,7,3,0,0,0,0,0,1,0,1,1
61,43,10,3,1,0,0,0,17,1,0,0,1
23,8,7,2,0,0,0,0,1,1,0,0,1
43,34,1,2,1,0,0,0,0,1,0,0,1
45,16,21,2,0,0,0,0,0,1,0,0,1
22,7,7,1,0,0,0,0,0,1,0,0,1
16,9,0,1,0,0,0,0,0,0,0,0,0
21,6,7,1,1,0,0,0,0,1,0,0,1
43,34,1,2,3,0,0,0,3,1,0,0,1
21,5,8,1,0,0,0,0,0,1,0,0,1
17,10,0,1,0,0,0,0,0,0,0,0,0
98,15,38,3,0,0,1,2,16,1,0,1,1
63,25,1,2,1,0,1,3,4,1,0,0,1
44,35,1,2,2,0,0,0,3,1,0,0,1
14,7,0,1,0,0,0,0,1,0,0,0,0
21,14,0,1,0,0,0,0,0,0,0,0,0
16,9,0,1,0,0,0,0,0,0,0,0,0
16,9,0,1,0,0,0,0,0,0,0,0,0
44,15,21,1,0,0,0,0,1,1,0,0,1
16,9,0,1,0,0,0,0,0,0,0,0,0
18,11,0,2,0,0,0,0,0,0,0,0,0
24,17,0,1,0,0,0,0,0,0,0,0,0
41,32,1,2,1,0,0,0,0,1,0,0,1
46,37,1,2,4,0,0,0,1,1,0,0,1
77,20,49,2,1,0,0,0,9,1,0,0,1
59,21,30,2,2,0,0,0,6,1,0,0,1
26,17,1,2,0,0,0,0,0,1,0,0,1
26,17,1,1,1,0,0,0,0,1,0,0,1
37,28,1,2,0,0,0,0,0,1,0,0,1
29,20,1,2,0,0,0,0,0,1,0,0,1
21,14,0,1,0,0,0,0,0,0,0,0,0
80,51,21,7,2,0,0,0,0,1,0,0,1
42,33,1,2,2,0,0,0,2,1,0,0,1
46,16,22,2,0,0,0,0,0,1,0,0,1
21,14,0,1,0,0,0,0,0,0,0,0,0
21,6,7,1,1,0,0,0,1,1,0,0,1
40,22,10,2,2,0,0,0,1,1,0,0,1
20,13,0,1,0,0,0,0,0,0,0,0,0
23,8,7,2,0,0,0,0,0,1,0,0,1
36,27,1,2,1,0,0,0,3,1,0,0,1
